date,source_type,product_area,sentiment_score,summary,pain_point,verbatim_quote
2026-02-27 03:26:22,Gong Call,Core UI & Navigation,0.48,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-02-27 03:27:36,Intercom Chat,Billing & Invoicing,-0.77,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-02-27 13:07:15,Gong Call,Core UI & Navigation,0.11,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-02-27 14:42:38,Gong Call,Billing & Invoicing,-0.48,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-02-27 19:59:09,Zendesk Ticket,Analytics Dashboard,0.14,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-02-27 21:58:34,Zendesk Ticket,Analytics Dashboard,0.12,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-02-27 22:16:09,Zendesk Ticket,Integrations & APIs,0.43,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-02-28 01:29:02,Gong Call,Analytics Dashboard,-0.02,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-02-28 03:15:55,Gong Call,Billing & Invoicing,-0.75,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-02-28 04:42:58,Zendesk Ticket,Analytics Dashboard,0.15,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-02-28 06:40:12,Zendesk Ticket,Billing & Invoicing,-0.18,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-02-28 06:57:18,Gong Call,Billing & Invoicing,-0.24,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-02-28 11:38:13,Intercom Chat,Core UI & Navigation,0.67,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-02-28 13:52:07,Intercom Chat,Billing & Invoicing,-0.36,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-01 01:33:09,Zendesk Ticket,Analytics Dashboard,0.71,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-01 03:09:19,Zendesk Ticket,Core UI & Navigation,-0.23,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-01 07:22:53,Intercom Chat,Core UI & Navigation,-0.2,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-01 14:00:35,Gong Call,Integrations & APIs,0.02,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-01 15:20:15,Gong Call,Core UI & Navigation,0.63,General feedback regarding Core UI & Navigation.,UX is slightly confusing.,It took me a while to figure out how the Core UI & Navigation works.
2026-03-01 19:27:05,Zendesk Ticket,Analytics Dashboard,-0.24,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
2026-03-01 22:37:55,Gong Call,Billing & Invoicing,-0.63,Confusion around prorated billing.,Cannot find the invoice for the added seats.,Where do I download the PDF for last month's true-up?
2026-03-02 02:30:41,Gong Call,Integrations & APIs,0.53,General feedback regarding Integrations & APIs.,UX is slightly confusing.,It took me a while to figure out how the Integrations & APIs works.
2026-03-02 03:36:13,Zendesk Ticket,Analytics Dashboard,-0.05,Wants more export options for charts.,CSV export is missing the new cohort columns.,"The charts look great, but I really need to export this to a CSV for my leadership team."
